episode_id,program_id,season_number,episode_number,episode_title,episode_synopsis
63,125,12,12,Three Men and a Bastard,"Bill starts dating a single mother; but when Dale suspects that the woman's oldest child may in fact be his own offspring, he recruits John Redcorn to ruin the romance by seducing her, which..."
64,125,12,13,Accidental Terrorist,"Hank is distraught to discover that his trusted car salesman has been swindling him for years, but when he tries to take action to expose the fraud he ends up getting blamed for an act of..."
65,128,1,4,Flushed in West Milford,"Michelle and Jon work on a monstrous house as they venture outside of their comfort zone, and they have a hard time renovating the home's three bathrooms while also contending with supply..."
66,128,1,3,Hasbrouck Heights Duplex Delights,"Jon and Michelle worry that a multi-family home in Hasbrouck Heights may be their first big failure because even though the duplex has a relatively small total living space, it consists of..."
67,128,1,2,Flips Ahoy in South Amboy,"Jon and Michelle work with their project managers to update an outdated single-family home into a modern retreat in only 24 hours, and they contend with a broken sewer pipe, missing floors and..."
68,131,37,18,Episode #37.18,A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories as they vie for a cash prize in the classic trivia game...
69,132,23,83,Episode #23.83,Two families composed of five members each compete against each other in a contest to see who can match more of their answers to survey questions with the most popular answers to the same...
70,132,23,85,Episode #23.85,Two families composed of five members each compete against each other in a contest to see who can match more of their answers to survey questions with the most popular answers to the same...
71,134,5,17,The Career Girl,"Erin has graduated from high school, but just as she was before graduating, she still has no direction where she wants her life to head, taking advice from anyone she can get to either go to..."
72,134,5,18,The Hero,"John-Boy plans a gathering to salute the members of the county involved in World War II, but when he seeks help to plan it all out, he gets a less-than-interested response from the..."
73,134,5,19,The Inferno,"John-Boy makes a trip out to Lakehurst, New Jersey, to deliver a report about the landing of the Hindenburg; Curt tries to seek more alone time with Mary Ellen to keep the feelings between..."
74,136,5,4,The Silent Bell,"A pastor attempts to change the decision of the church, which wishes for him to begin teaching lessons of religion within his preschool, and his belief in respect for other cultures stops him..."
75,136,5,5,The Reunion,"Mark Gordon goes to his five-year class reunion only to find out that the joyous occasion is far from what he expected it to be, and the prom queen ironically happens to feel extremely out of..."
76,137,8,19,Day of the Dead,The theft of a priceless artifact from a Mexico City museum leads Jessica into a labyrinth of clues where murder is the fact behind the Mask of Montezuma.
77,137,8,20,Angel of Death,"While Jessica is in California to console a well-known playwright haunted by his wife's suicide, another family is murdered."
78,137,8,15,"Tinker, Tailor, Liar, Thief",Jessica finds herself involved in a cover up for a British Intelligence operation which involves a double murder; she claims to have found a dead body in her hotel room in London but after it...
79,140,2,6,From Scary to Stunning,"The road trip comes to an end as Retta reveals the winner of the Scariest House in America, which receives a $150,000 home renovation from HGTV's Alison Victoria, transforming their once scary..."
80,141,13,6,Thin Margins,"As the survivalists find a brief window to regroup and refocus, the Arctic continues to test their resolve; one participant gets their chance at big game, while another faces a lynx who puts..."
81,142,1,8,Supersized Deadfall Trap,"Previous contestants come back to take on a unique challenge and build massive deadfall traps with only a limited number of tools, all before being judged in the moment by expert survivalist..."
82,143,4,14,The Reverend Steps Out,"Chrissy catches her father spending time with an unfamiliar woman and assumes that he is cheating on her mother; Reverend Snow has a chance at a new job in Santa Monica, but it requires that..."
83,143,4,15,Larry Loves Janet,"Larry attempts to woo ""nice girl"" Janet after she comforts him following a particularly unsuccessful date, and Janet attempts to change Larry's mind about her by transforming herself into the..."
84,143,4,16,Mighty Mouth,"Jack attempts to impress a woman who works at a health spa by pretending to be athletically gifted, but problems soon arise when he buys a membership and the woman's overprotective,..."
85,143,4,17,The Love Lesson,"After catching Jack kissing a woman and then being told a lie to cover up, Mr. Furley begins to believe that Jack is becoming attracted to the opposite sex and offers to give his tenant a few..."
86,144,10,14,Cul-de-sac,"After the murder of Johnny Soekhies in Alabama, authorities turn to CCTV to hunt his killer, and the footage reveals a vehicle driving Johnny to the place of his eventual murder and captures a..."
87,145,6,5,Risking it All,"In New Mexico, a car chase ends dramatically with lasting consequences for a lieutenant, and a lone officer must keep her cool to safely detain a homicide suspect. In California, officers..."
88,144,1,5,View to a Rampage,"A newly engaged couple is brutally murdered in an abandoned parking lot in Irvine, Calif., and as the investigating officers set out to bring the killers to justice, they must rely on the only..."
89,146,5,18,Family Matters,"When the squad begins to investigate a case that involves a wife having found her husband murdered, some of the evidence that they begin to uncover seems to point to the wife having lived a..."
90,146,6,1,The Platform,"When a member of the team appears to have shot an unarmed man on a Boston subway platform, they have to race against an Internal Affairs investigation in order to find the true killer, but the..."
91,149,4,6,Float Your Boat,"The ladies are assigned colors to work with off of the rainbow flag for a pride parade runway challenge; after designing boats for an off-the-wall challenge, several of the ladies struggle to..."
92,149,4,7,Dragazines,"The ladies are given different magazine covers to recreate, but several of them struggle to find a cohesive design; the judges look for fun and funny magazine covers, but find several that..."
93,149,4,8,Frenemies,"After taking a lie-detector test, the ladies are paired up with each other based on the results and expected to sing a duet; several of the pairs showcase each other's talents, but others fail..."
94,150,5,1,A Dream Come True,A family of four from Florida needs help renovating their dream home on a scenic lake in Maine if the cabin is going to be able to withstand the winter months and live up to their...
95,150,10,2,The Russell Cabin's Big Lift,"The team tackles a fifth-generation cabin renovation in addition to staying busy with an ant invasion, a 1960s game show and a basketball showdown while adding bathroom privacy, a charming nap..."
96,151,16,5,"Small Town, Big Dreams","The Barnwood Builders construct a log cabin and timber frame in White Sulphur Springs, W.V., after a devastating flood wrecks the small town with big dreams."
97,152,7,9,Chanel and Sterling XXII,"Model and actress Charlotte McKinney joins Rob, Sterling and Chanel to cover ""Dirty Secrets,"" ""All Natural Beef"" and ""Spike My Butt."""
98,152,23,23,Chanel and Sterling CCCXCV,"Rob, Chanel and Steelo check out ""Summer Heated,"" ""Snide Salads"" and ""DI-Why?"""
99,152,48,6,Matthew Mounce,"Rob, Chanel and Sterling present viewers with a series of comedic and outlandish video clips taken from the Internet in segments like ""Unnecessary Combos,"" ""Stay Out of the Water"" and ""Who Put..."
100,153,6,21,"I, Stank Hole in One","Hilary butts heads with her co-host when she fills in on a popular national morning talk show; Ashley and Vivian team up for a tennis competition, while Philip and Will do the same for a golf..."
101,154,4,8,I Was En Vogue's Love Slave,"When a tabloid publishes a false story that names Marlon as the love slave of the all-female R&B group, En Vogue, the female quartet winds up filing a $25 million lawsuit against Marlon,..."
102,154,4,9,Can I Get a Witness?,"The entire family must be placed under police protection after Marlon has become the primary witness to a recent bank robbery, but despite the extra security, the culprit sends his brother to..."
103,154,4,10,Ted's Revenge,"Shawn's former boss, who has recently been released from a mental institution, sets out to exact his long-awaited revenge on the unsuspecting Shawn because he blames him for the devastating..."
104,155,1,2,Rome's Sunken Secrets,"Investigators discover traces of a crucial naval battle, using divers, an underwater robot and a crane, they haul a long-lost battleship relic to the surface, and reveal clues of how one..."
105,155,1,4,Nero's Lost Palace,"Buried beneath Rome lies a forgotten treasure, the Golden House, a vast palace built in the first century AD built by Rome's most notorious emperor, Nero; archaeologists investigate the fate..."
106,155,1,1,Hidden Secrets of Pompeii,"Archaeologists embark on new digs in the ancient city of Pompeii, to unravel the stories of the people that lived and died here, as they uncover clues from the tomb and venture into stiflingly..."
107,156,1,6,Sharks Gone Rogue,"Brazen attacks are targeting people, and some wonder if sharks are learning to crave human flesh."
108,157,2,20,The World of North America,"The Hannas go on an adventure to meet cool, and cute, North American creatures."
109,158,1,23,The One with the Birth,"Ross's big day to become a father arrives when Carol goes into labor, but trouble arises when he gets locked inside a closet alongside Susan and Phoebe; Rachel attempts to be flirtatious with..."
110,158,1,24,The One Where Rachel Finds Out,"Ross is away during a business trip to China, and Chandler accidentally lets slip Ross' secret feelings of romance towards Rachel; matters become more awkward than ever before when Ross..."
111,158,2,1,The One with Ross' New Girlfriend,"Rachel resolves to be patient and wait at the airport until Ross can return and learn that she knows about his feelings, but Ross steps off the plane with big news about a girlfriend; Phoebe..."
112,159,4,23,Pups Save Luke Stars; Pups Save Chicken Day,"When Luke Stars gets stuck on a mountain ledge on his way to Adventure Bay, he is unable to perform a song with Katie; Mayor Goodway's pet chicken Chickaletta, goes missing on Chicken Day and..."
113,160,3,9,Pups Save a Dragon; Pups Save the Three Little Pigs,"When a dragon starts guarding the Lookout Tower with Katie inside, Ryder must enlist the help of the Pups and the Air Patroller; the PAW Patrol must build a new home for three piglets while..."
114,160,4,22,Sea Patrol: Pups Save a Frozen Flounder; Sea Patrol: Pups Save a Narwhal,Captain Turbot's boat becomes frozen in ice while sailing in the Arctic; the PAW Patrol pups use their Sea Patroller to help guide a lost narwhal back to its home.
115,161,4,22,Sea Patrol: Pups Save a Frozen Flounder; Sea Patrol: Pups Save a Narwhal,Captain Turbot's boat becomes frozen in ice while sailing in the Arctic; the PAW Patrol pups use their Sea Patroller to help guide a lost narwhal back to its home.
116,161,2,21,The Crew Builds a Winter Wonderland; Crew Builds a Giant Snow Squirrely Whirly,"Rubble & Crew work together to transform Builder Cove's beach boardwalk into a bright, festive, winter wonderland; when a snowy day gets in the way of Motor & Mix's Super Squirrely Whirly..."
117,160,4,10,Mission PAW: Pups Save the Royal Throne,"When sweetie has come up with plans in order to steal the royal throne so that she can rule, the pups must work together to save the day."
118,162,2,27,Pre-Hibernation Week; Life of Crime,Sandy invites Spongebob Squarepants to join her on her last week of wild fun before she has to settle in for hibernation; Spongebob and Patrick face the consequences of their negligence after...
119,163,15,2,UpWard; Unidentified Flailing Octopus,"Lady Upturn introduces Squidward Tentacles and his musical talents to her high society friends after she becomes his patron; Squidward Tentacles sets out to prove that aliens aren't real,..."
120,163,2,21,Your Shoe's Untied; Squid's Day Off,SpongeBob SquarePants forgets how to tie his shoelaces and has difficulty finding someone to show him how to do it; Squidward takes advantage of his responsibility of being in charge of Krusty...
121,163,6,7,Giant Squidward; No Nose Knows,"Squidward turns into a giant when he gets sprayed with a plant growth formula, and word spreads through town that a new monster has arrived; Patrick decides that he wants a nose so he can..."
122,164,2,2,Fashion,"Three accomplished fashion designers, each exhibiting the sort of creativity that's required to succeed in today's industry, reveal their respective approaches to their work, from ""green""..."
123,167,7,3,Some Like It Hotter,"A couple who won $1 million from the New York lottery has decided to purchase a home in the city of Punta Gorda, Fla., so they attempt to buy their way into a classy retirement village with..."
124,167,7,5,Fort Worth Fortune,"A professional poker player and his family have decided to purchase a home in the city of Fort Worth, Texas, so host David Bromstad helps them find a property that boasts plenty of space to..."
125,167,7,7,Delaware Dream Home,"Host David Bromstad shows a variety of remarkable homes to a Staten Island couple, who won the lottery and want to purchase a forever home in the city of Bethany Beach, Del., where they hope..."
126,168,10,7,Close-Knit Clan,"A couple and their four children found a way to squeeze themselves into a 1,200 square foot bungalow five years ago, but now the lack of bedrooms and space has become a detriment, and they..."
127,171,6,5,Sacrifice,The team faces the demands of a kidnapper who abducted the director of a Brooklyn migrant center and his wife; Maggie uses Jessica to learn more about the ins and outs of motherhood.
128,171,6,6,Unforeseen,A poison gas attack in broad daylight leaves multiple victims dead as the team races to find those responsible before they can strike again.
129,171,6,7,Behind the Veil,"After a restaurant bombing leaves a congresswoman among the victims, the team is tasked with tracking down the ones responsible before they can strike again."
130,172,4,82,Armed Carjacker,Clayton County officers search for an armed carjacking suspect; Toledo officers race to shots fired.
131,173,6,7,Blaze of Winston-Salem,"A catastrophic fire at a fertilizer plant threatens city-wide devastation in Winston-Salem, N. C.; experts use the latest science to investigate and uncover an outdated, wooden storage..."
132,175,13,7,Terror in Paradise,"A plane of an airline linking the islands of French Polynesia leaves Moorea Island for Tahiti, but two minutes out it suddenly dives into the ocean, killing all 20 people on board, and its..."
133,175,3,2,Attack Over Baghdad,"On November 22, 2003, insurgents in Iraq fire a missile at an Airbus A300 air freighter owned by European Air Transport and flying for DHL Aviation; the hit destroys its hydraulic system and..."
134,176,9,10,Hate,"Newly-discovered evidence will point the investigating detectives in the direction of a fascist youth gathering after the brutal beating and murder of a high school girl, but the teenagers are..."
135,176,9,11,Ramparts,Detectives Lennie Briscoe and Rey Curtis will have to reopen a case that was previously closed in the 1960s when they discover a vehicle dredged in the waters of the Hudson River containing...
136,177,5,22,If I Had a Quarter-Million,"Barney's discovery of a bank satchel containing an ample allowance of stolen currency leads to his ambitious attempt to lure the furtive robbers to justice by using their own illicit loot,..."
137,179,2,17,Personal,"Detective Deeks has his morning routine disrupted when he is shot during a convenience store robbery, leaving the NCIS team to investigate into the fact whether the assailants' intentions were..."
138,179,2,18,Harm's Way,Sam resumes a former alias he once had and boards a one-way flight to Yemen with Callen in hopes tracking down a dangerous leader of a terrorist group and safely rescuing the hostage son of a...
139,180,6,10,Murder,"Michael finds himself unsettled after he hears some troubling rumors about Dunder Mifflin, and he forces the office into a day of strange diversions that leads everyone to wonder if he has..."
140,180,6,11,Shareholder Meeting,"Michael is excited to get the chance to be honored on stage at the Dunder Mifflin shareholder meeting, and he decides to bring Andy, Dwight and Oscar along with him; Jim has a hard time..."
141,180,6,12,Scott's Tots,Michael is forced to face the music after he comes to the realization that he can't keep a promise that he made to a group of kids 10 years ago; Jim starts an employee of the month program in...
142,180,6,13,Secret Santa,"Michael becomes outraged after Jim decides to let Phyllis take on the role of Santa at the office Christmas party; Jim and Dwight try to get the holiday spirit going, despite some doubts from..."
143,182,5,26,Appetite for Destruction; Frame on You,"When Lily Loud starts misbehaving at home, Mom and Dad think her new preschool friends might be the cause; when Rusty is wrongfully suspended, the Action News Team leaps into action to clear..."
144,183,6,4,The Taunting Hour; Musical Chairs,"Lincoln convinces his teacher, Mr. Bolhofner, to join the Doo-Dads in order to get a better seat in class; after Lincoln tries to help Lynn get over a heckler at her soccer game, the Louds..."
145,183,5,24,Fright Bite; The Loudly Bones,"When a vampire moves into their town of Royal Woods, Lucy Loud must convince him to turn the Mortician's Club into vampires; Lisa Loud discovers that the dinosaur bones she found in her..."
146,184,6,3,Ew! What Is That?,"The large tumours on Jennifer's scalp have left her with bald patches. Plus, Adam hopes to get a diagnosis for more than 60 lumps covering his body."
147,185,2,3,She's All MILF,A double date leads to awkward situations for two contestants; Barby and Jacob grow closer; one contestant has her secret exposed.
148,186,4,4,Baby Blues,"Lilly brings up a family's suppressed and depressing memories when she reopens a case from 1982 in which an infant was found dead due to the possible actions of the older brother, who..."
149,186,4,5,Saving Sammy,"A shocking twist is uncovered from the 2003 case of an autistic boy's murdered parents when Lilly and her team of investigators find clues that surprisingly point to his sister, a school bully..."
150,186,4,6,Static,"Heads are turned and beliefs are shattered when a former celebrity DJ's death in 1958, which was labeled a suicide for years, is discovered to have been a murder; Scotty attempts to reach out..."
151,187,10,1,The Haunted Pub of Doncaster and More,"The owner of the Plough Inn in Doncaster, England, named Jane Bushell, claims to have captured footage of a destructive spirit wreaking havoc; footage of a Sasquatch-like creature and..."
152,187,9,8,Bigfoot in Great Britain and More!,A bushcraft expert in Britain claims to have encountered a bigfoot-like creature; a simple walk down Route 66 in Arizona turns terrifying; three men in Argentina find something receding in a...
153,187,10,2,A Spirited Infirmary in Indiana and More,Two investigators feel unwelcomed by spirits at an abandoned Indiana infirmary; a high-flying cryptid gives a chilling warning in Chicago; a woman in Mexico is shocked to see her painting come...
154,188,1,153,The Alliance,One Joker is an avid photographer; there are some words that the guys never want to hear before a punishment; one Joker is never afraid to strip down.
155,188,1,155,Sorry for Your Loss,"One Joker brought a kitten to the set, and the person responsible for the song used on the show is revealed; Q tried to master an instrument before the show."
156,189,4,21,The Smelly Car,"Jerry and Elaine try to discover the origin of a mysterious and pungent odor left in Jerry's car, which they trace back to a valet from a local restaurant; George becomes interesting in Susan..."
157,189,4,22,The Handicap Spot,An angry mob trashes Frank's car when George parks it in a handicap spot; the gang splits the cost of a big screen TV for the Drake's wedding; Kramer falls in love with a woman at a hospital...
158,189,5,1,The Mango,Jerry begs Elaine for another chance when he finds out she faked her orgasms; George tells Jerry about his lack of confidence below his belt; Kramer gets banned from his favorite fruit shop...
159,96,5,9,Comedy of Errors,"The unexpected death of a schoolmate will prompt the shocked Dorothy to renew her long-time interest in performing stand-up comedy, but she almost causes a serious injury to herself after..."
160,190,1,10,The Pineapple Incident,"After a night of wild partying, Ted wakes up to find he has a sprained ankle, and that a burnt jacket, a pineapple and a girl are in his bed, so he requests the help of his friends to piece..."
161,191,6,3,Skylar Diggins; Vic Mensa,WNBA star Skylar Diggins competes; rapper Vic Mensa performs.
162,191,6,4,Bow Wow; Que,"Nick Cannon and rapper, actor, TV host Bow Wow face-off in ""Let Me Holla,"" ""Plead the Fifth,"" ""Exclusive Hits"" and ""Wildstyle""; rapper Que performs."
163,191,6,5,Chrissy Teigen; PWD,"Model Chrissy Teigen battles in ""Got Props,"" ""The World's Worst,"" ""Talking Spit"" and ""Wildstyle""; hip-hop's Psych Ward Druggies perform."
164,191,6,6,Austin Mahone,"Pop, R&B artist Austin Mahone battles Nick Cannon in ""Turn Up For What,"" ""Instaham,"" ""Remix"" and ""Wildstyle."""
165,193,2,5,S.O.S.,Hondo and Lina are undercover to infiltrate and retrieve a cruise ship that has been attacked by drug smugglers who threaten to kill passengers; Street finds the competition in the SWAT...
166,193,2,6,Never Again,The team pursues an organized group of thieves who target diamond dealers across downtown Los Angeles; Hondo seeks his mother's comfort after the emotional death of a suspect; Street is...
167,194,1,2,Healing Takes Time,"The family gathers to share their feelings and memories during grief counseling to cope with the loss of Traci but when emotions run high and a family member suddenly leaves the session, Miss..."
168,195,4,22,Hurricane Hampered,"As Palm Beach, Fla., prepares for the incoming impact of Hurricane Andrew, a mother and her daughter are suddenly murdered in their home so the police team up with a forensic meteorologist to..."
169,195,5,9,Burned in a Blackout,"Some time after Hurricane Ivan arrives and wreaks havoc across the state of Alabama, emergency responders discover a woman's charred remains hidden deep beneath the rubble and wonder how she..."
170,196,2,2,The Galveston Hurricane of 1900,"A historical look is taken into the dramatic events surrounding the destruction of a hurricane that struck Galveston, Texas, in 1900, as experts believe it was more powerful than disasters..."
171,197,3,5,Unbowed and Unbent,"As the search for Aemond and Vhagar continues, Daemon attempts to control the spiraling situation in King's Landing."
172,198,3,5,Unbowed and Unbent,"As the search for Aemond and Vhagar continues, Daemon attempts to control the spiraling situation in King's Landing."
173,203,2,8,International Assassin,"Kevin makes a strong-willed effort to rid himself of Patti and her influence on an unexpected field of battle, where a shocking, heart-rending choice is the definitive action that stands..."
174,203,2,9,Ten Thirteen,A personal loss that left Meg irreconcilable motivates her pilgrimage to Miracle to find shelter and offers leads to why she decided to become an advocate for the Guilty Remnant; Tom hopes to...
175,203,2,10,I Live Here Now,"No longer driven to keep the secret, Kevin is honest with a suspicious John about his possible relationship to the disappearance of Evie; Miracle is confronted by an unforeseen threat on the..."
