channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,duration_raw,release_year,rating,genres_raw,season_number,episode_number,episode_title,synopsis
43,AMCALL,4,The Walking Dead: Dead City,2:39 PM,3:40 PM,56 min,2023,TV-MA,Action / Adventure / Drama / Horror / Thriller,1,2,Who's There?,Negan and Maggie meet native New Yorkers; Armstrong confronts a trauma; Ginny must try to adapt to change.
44,ANIMAL,2,Naked and Afraid,3:00 PM,4:00 PM,2 hrs,2022,TV-14,Adventure / Game-Show / Horror / Reality-TV,14,9,Legends and Rookies,"Legendary survivalists Max and Rylie join two novice fans in the South African bush, where they must survive for three weeks among spitting cobras, aggressive warthogs, rhinos and..."
45,BBCAME,2,Criminal Minds,2:00 PM,3:00 PM,1 hr,2011,TV-14,Crime / Mystery / Thriller / Drama,6,18,Lauren,"Prentiss feels that she is ready to finally confront her nemesis, Ian Doyle, once and for all; the BAU team calls upon their beloved former team member in JJ to help them find Prentiss and..."
45,BBCAME,3,Criminal Minds,3:00 PM,4:00 PM,1 hr,2011,TV-14,Crime / Mystery / Thriller / Drama,6,19,With Friends Like These...,"When a gang of suspected murderers start targeting a new victim per night, the BAU team travels to Portland to stop them before they can strike again; Hotch is on the hunt to find another..."
46,BET,2,The Jamie Foxx Show,2:00 PM,2:30 PM,30 min,1997,TV-PG,Comedy,2,11,Too Much Soul Food,Jamie and the family attempt to have a nice Thanksgiving dinner but when an unexpected accident befalls the head of the household the entire day is ruined with they are forced to go to the...
46,BET,3,The Jamie Foxx Show,2:30 PM,3:00 PM,30 min,1997,TV-PG,Comedy,2,12,Super Face-Off,"Jamie brags about being named the employee of the month at the hotel; a Los Angeles jewel thief is on the loose within the city, and Jamie is mistaken by authorities for the real culprit and..."
46,BET,4,The Jamie Foxx Show,3:00 PM,3:30 PM,30 min,1998,TV-PG,Comedy,2,13,Soul Mate to Cellmate,"Jamie begins dating a woman he meets at the hotel in order to make Fancy jealous, but he later discovers that the woman is married to a man in prison, and he expects to return home to his wife..."
47,BETHER,2,Tyler Perry's Assisted Living,1:48 PM,2:24 PM,36 min,2023,TV-PG,Comedy,4,16,Golden Oldie,Mr. Brown's girlfriend is furious to learn Anastasia is competing in the same pageant as her; Leah is shocked when Jeremy buys her a broom for a birthday gift.
47,BETHER,3,Tyler Perry's Assisted Living,2:24 PM,3:00 PM,36 min,2023,TV-PG,Comedy,4,17,Big Thanks Little Thanks,Sandra's stint preparing Thanksgiving turkey leads to a lot of hungry residents; Anastasia struggles with the passing of an old friend.
47,BETHER,4,Tyler Perry's Assisted Living,3:00 PM,4:00 PM,36 min,2023,TV-PG,Comedy,4,18,Super Senior,Anastasia's plans to return to college face the reality of changing times; a rival facility challenges the Pleasant Days team to a charity walk.
48,BOOM,2,Ben 10,2:00 PM,2:10 PM,30 min,2006,TV-Y7,Animation / Action / Adventure / Family / Sci-Fi,1,10,Lucky Girl,A magician whose intimidating powers originate from within a set of mystical charms faces off against Ben in a battle that becomes increasingly ominous for the villain when his foe uses the...
48,BOOM,3,Tom and Jerry,2:10 PM,2:20 PM,10 min,1961,TV-PG,Comedy,2,2,Down and Outing,Tom and Jerry try to do each other in during a fishing trip.
48,BOOM,4,Tom and Jerry,2:20 PM,2:30 PM,10 min,1961,TV-PG,Comedy,3,3,It's Greek to Me-ow,Tom chases Jerry around during the times of Ancient Greece.
48,BOOM,5,Tom and Jerry,2:30 PM,2:40 PM,10 min,1961,TV-PG,Comedy,3,3,It's Greek to Me-ow,Tom chases Jerry around during the times of Ancient Greece.
48,BOOM,6,Tom and Jerry,2:40 PM,2:50 PM,10 min,,TV-PG,Adventure,3,5,Landing Stripling,"Classic ""cat and mouse"" tales pit a hungry and high-spirited cat against a loveable and lively mouse as they romp and run through adventures that are full of mischief and mayhem, as well as..."
48,BOOM,7,Tom and Jerry,2:50 PM,3:00 PM,10 min,1962,TV-PG,Comedy,3,6,Calypso Cat,"Tom falls in love with a cat, but she loses interest in him when they reach an island."
48,BOOM,8,Tom and Jerry,3:00 PM,3:10 PM,10 min,1962,TV-PG,Comedy,2,8,Dicky Moe,Tom and Jerry are along for a ride on a ship as the captain is obsessed with killing a white whale.
48,BOOM,9,Popeye the Sailor,3:10 PM,3:20 PM,10 min,1943,PG,Animation / Adventure / Comedy / Family / Romance,1,116,Too Weak to Work,"Bluto checks himself into the hospital to fake exhaustion so that he can get some rest and enjoy some peace and quiet, and when Popeye discovers what Bluto is up to, he plays a trick on his..."
48,BOOM,10,Popeye the Sailor,,,10 min,1943,PG,Animation / Adventure / Comedy / Family / Romance,11,5,Ration Fer the Duration,"Popeye lectures his nephews on being productive with their time as he plants a victory garden, and when Popeye then falls asleep, he has a dream about climbing a giant beanstalk, which leads..."
49,BRAVO,2,Next Gen NYC,2:30 PM,3:00 PM,1 hr,2026,,,,,,"Shai and Rowan host a Halloween party in Brooklyn where Shai and Charlie put Liam in the hot seat. Ariana confronts Shai for meddling in her love life. Emira attempts to end ""flirt-gate"" by..."
49,BRAVO,3,Watch What Happens: Live,3:00 PM,4:00 PM,30 min,2026,TV-14,Talk-Show,23,121,Kristen Doute & Ariana Biermann,TV personalities Ariana Biermann and Kristen Doute.
50,TOON-E,2,American Dad!,1:32 PM,2:01 PM,29 min,2022,TV-14,Animation / Comedy,19,6,American Dad Graffito,"Stan discovers that his favorite 1950s diner is closing, so he tries to ignite some 1950s enthusiasm to save the restaurant; Hayley takes advantage of the diner's closing by lobbying to be the..."
50,TOON-E,3,American Dad!,2:01 PM,2:30 PM,29 min,2022,TV-14,Animation / Comedy,19,7,Beyond the Alcove or: How I Learned to Stop Worrying and Love Klaus,Francine promises to take Klaus down because she is jealous of his improvements.
50,TOON-E,4,American Dad!,2:30 PM,3:00 PM,29 min,2022,TV-14,Animation / Comedy,19,8,A Song of Knives and Fire,Stan and Francine assess their relationship and add some much-needed fire.
50,TOON-E,5,Rick and Morty,3:00 PM,3:30 PM,30 min,2026,TV-14,Animation / Adventure / Comedy / Sci-Fi,9,9,Salute Your Morts,"Morty and Summer go to camp, broh. Beth and Jerry home alone, broh."
51,CMTV,2,The Golden Girls,2:00 PM,3:00 PM,30 min,1986,TV-PG,Comedy / Drama,2,10,"Love, Rose","Blanche and Dorothy create a fictional admirer to answer Rose's personal ad, but the meddlesome roommates are left scrambling when she decides to invite who she believes to be her imaginary..."
51,CMTV,3,CMT Music,3:00 PM,4:00 PM,1 hr,2006,TV-PG,,,,,"CMT presents a selection of music videos from some of the hottest country music artists, showcasing a block of back-to-back hits performed by up-and-coming country music stars, as well as..."
52,CMDY-E,2,South Park,2:00 PM,2:30 PM,30 min,2004,TV-MA,,,,,"The town of South Park suddenly takes on the look of Japanese anime; Butters is horribly wounded when Stan, Kyle, Kenny and Cartman become warriors and conspire to purchase dangerous, illegal..."
52,CMDY-E,3,South Park,2:30 PM,3:00 PM,30 min,2004,TV-MA,,,,,"Cartman dresses up like a robot and moves in with Butters so that he can learn all his secrets and use them against him; the United States Army believes Cartman is a new secret weapon, while..."
52,CMDY-E,4,South Park,3:00 PM,3:30 PM,30 min,2004,TV-MA,,,,,"Cartman decides to pose as a mentally-challenged athlete in hopes of winning a $1,000 prize at the Special Olympics; as he trains for the event, Jimmy is forced to take illegal steps to remain..."
53,COOKING,2,Kids Baking Championship,2:00 PM,3:00 PM,1 hr,2016,,Game-Show / Reality-TV,2,3,'Hot' Chocolate,"Valerie Bertinelli and Duff Goldman ask the remaining bakers to incorporate chilies, peppers, and cayenne into the chocolate items the bakers prepared causing the kids to be able to balance..."
53,COOKING,3,Kids Baking Championship,3:00 PM,3:30 PM,1 hr,2016,,Game-Show / Reality-TV,2,4,Macaron Stackaron,"The seven remaining kid bakers are challenged with preparing what is being called ""the new cupcake,"" the French macaron, said to be extremely demanding, and producing three dozen colorful..."
54,CRIMEINV,2,Cold Case Files,2:00 PM,3:00 PM,1 hr,2017,TV-14,Documentary / Crime,1,5,The Night Shift,A college student disappears from his graveyard shift at a gas station; new forensic technology and the discovery of an illegal drug ring in a squeaky-clean town helps police solve the case...
54,CRIMEINV,3,Cold Case Files,3:00 PM,4:00 PM,1 hr,2022,TV-14,Documentary / Crime,2,8,Ice Cold in Denver,Radio intern Helene Pruszynski is found brutalized in a snowy field in 1980; the case goes cold for 37 years until investigators use a public genealogy website that leads them across the...
55,DESTAMER,2,BBQ Pitmasters,2:00 PM,3:00 PM,1 hr,2012,TV-PG,Reality-TV,3,5,"Doctors, Divas and 2 Worthless Nuts","The competition pits potential Pitmasters against one another in Salisbury, Md., where Purdue Chicken got its humble start, which is why the competitors are tasked with creating various..."
55,DESTAMER,3,BBQ Pitmasters,3:00 PM,3:30 PM,1 hr,2012,TV-PG,Reality-TV,3,6,The Grand Porkin' Finale,"Finalists come together for one last competitive showdown, where their barbecue skills are put to the ultimate test and only one worthy challenger will be able to walk away with the..."
56,TDC-E,2,Expedition Unknown,3:00 PM,4:00 PM,1 hr 30 min,2020,TV-PG,Adventure / Mystery / Reality-TV,8,2,Searching for America's Lost Flight,Host Josh Gates investigates one of the most mysterious airline disasters in the history of the United States as he attempts to uncover why Northwest Flight 2501 seemingly disappeared out of...
57,DFCH,2,Food Paradise,2:00 PM,3:00 PM,1 hr,2021,,Reality-TV,,,,"A basic burger in Las Vegas costs only seven dollars, a wasabi mashed potato burger serves a unique taste and a huge backyard barbecue masterpiece is on a bun."
57,DFCH,3,Bakery Boss,3:00 PM,3:30 PM,1 hr,,TV-PG,,,,,"Visiting a bakery run like a soap opera, full of drama and spice."
58,DLIF,2,My 600-lb Life,3:00 PM,5:00 PM,2 hrs,2024,TV-PG,Reality-TV,12,7,Charles' Journey,"After quitting his drug addiction, a man instead became addicted to food and soon found himself unable to stop even as he continues to put on weight."
59,DIS-E,2,Big City Greens,2:00 PM,2:30 PM,30 min,2022,TV-Y7,Animation / Adventure / Comedy / Family,3,2,Boss Life; Papaganda,"Gloria's café has a perfect rating, and she works hard to keep it that way until someone gives her a B rating; Bill drags his family along on a blackberry picking adventure and enforces a..."
59,DIS-E,3,Big City Greens,2:30 PM,3:00 PM,30 min,2022,TV-Y7,Animation / Adventure / Comedy / Family,3,3,Little Buddy; Zen Garden,"A wild child needs Cricket's guidance, so he steps up as a mentor and Tilly develops a loyal underground following; Nancy works to prove she can be useful on the farm while Bill tries and..."
59,DIS-E,4,Big City Greens,3:00 PM,3:30 PM,30 min,2022,TV-Y7,Animation / Adventure / Comedy / Family,3,4,No Service; Takened,"A convenience store's ""No Shoes, No Service"" policy stops Cricket in his barefooted tracks and forces him to borrow Tilly's shoes; Bill struggles to keep a secret after he learns that Remy is..."
60,DISNEYJR,2,BeddyByes,1:35 PM,2:00 PM,25 min,2026,,,,,,"Join MeMo and BaBa as they encounter all kinds of fantastical beings that encourage good nutrition, mindfulness and creativity, all the while winding down towards sleep."
60,DISNEYJR,3,Disney's Mickey Mouse Clubhouse,2:00 PM,2:25 PM,25 min,2016,TV-Y,Animation / Adventure / Comedy / Family / Fantasy / Musical,5,13,Chef Goofy on the Go!,"Mickey and the rest of the friends assist Goofy with completing his food deliveries for his lunch truck, which he calls ""Chef Goofy on the Go."""
60,DISNEYJR,4,Disney's Mickey Mouse Clubhouse,2:25 PM,2:50 PM,25 min,2015,TV-Y,Animation / Adventure / Comedy / Family / Fantasy / Musical,5,7,Mickey's Mousekeball,"When Professor Von Drake introduces Mickey and his friends to a new innovative sport, the ball they're using gets away from them, so they are forced to change their playing field to the..."
60,DISNEYJR,5,Bluey,2:50 PM,3:15 PM,25 min,2023,TV-Y,,,,,"Mum encourages the family to play musical statues; Indy feels disappointed in her model horse, but her pals encourage her to not give up; Bluey and Bingo teach Unicorse good manners so that he..."
60,DISNEYJR,6,Bluey,,,25 min,2020,TV-Y,,,,,Bluey and Bingo make their own miniature-sized homes in a shopping cart; Bingo uses magic to make thinks heavy when she isn't asked to attend Chloe's party; Bingo tries to put her mother and...
61,DISNEYXD,2,Big Hero 6,2:00 PM,2:30 PM,30 min,2020,TV-Y7,Animation / Action / Adventure / Comedy / Family / Sci-Fi,3,1,The Hyper-potamus Pizza-Party-torium,"Lacking certain members, the team tries to prevent Noodle Burger Boy from achieving his goals while he is aided by his new family."
61,DISNEYXD,3,DuckTales,2:30 PM,3:00 PM,30 min,2019,TV-Y7,Animation / Action / Adventure / Comedy / Drama / Family / Fantasy / Mystery / Sci-Fi,2,17,What Ever Happened to Donald Duck?!,Donald and Penumbra are forced to figure out how to escape from Moon Prison before they can warn planet Earth about an impending invasion; Dewey and Webby happen upon an evil conspiracy that...
61,DISNEYXD,4,DuckTales,3:00 PM,3:30 PM,30 min,2019,TV-Y7,Animation / Action / Adventure / Comedy / Drama / Family / Fantasy / Mystery / Sci-Fi,2,19,A Nightmare on Killmotor Hill,"The children are drawn into a magical world that is comprised of their most exotic dreams, but the situation takes a dark turn when Lena's worst nightmare is actualized, where Magica De Spell..."
62,ETV-E,2,Royal Rendezvous,3:00 PM,5:00 PM,2 hrs,2023,,Comedy / Romance,,,,"A chef from eastern Los Angeles is offered to visit Ireland and cook a royal feast meant to distract a Lord's grandmother from selling a cherished manor, which leads to unexpected romances..."
63,FOODTV,2,Guy's Grocery Games,2:00 PM,3:00 PM,1 hr,2026,,Game-Show / Reality-TV,41,4,Food Family Takeover,Three restaurant crews featuring family and longtime employees compete.
63,FOODTV,3,Guy's Grocery Games,3:00 PM,4:00 PM,1 hr,2025,,Game-Show / Reality-TV,38,4,Masters of Cheese,Four cheese-loving chefs face off in two Muenster-sized challenges in which Guy Fieri rolls a cheese die to determine who many types of cheese they must use in their dishes on their way to...
64,FREEFRM,2,What’s Your Injury Case Worth?,2:00 PM,3:00 PM,30 min,,G,,,,,Legal professionals standing by 24/7. Call now for your free case evaluation!
64,FREEFRM,3,The 700 Club,3:00 PM,3:30 PM,1 hr,2026,,News / Talk-Show,60,145,Season 60 Episode 145,"Host and Reverend Pat Robertson joins a panel of guests for a discussion of religious commentary on news events, featured stories, contemporary music, interviews, testamonies, politics, the..."
